Ê³ÎïÃû³Æ,ÄÜÁ¿£¨Ç§¿¨£©,µ°°×ÖÊ£¨¿Ë£©,Ö¬·¾£¨¿Ë£©,Ì¼Ë®»¯ºÏÎï£¨¿Ë£©,´ÖÏËÎ¬£¨¿Ë£©,µ¥²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,¶à²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,ºúÂÜ²·ËØ£¨Î¢¿Ë£©,Ò¶»ÆËØÀà£¨Î¢¿Ë£©,¸Æ£¨ºÁ¿Ë£©,Ã¾£¨ºÁ¿Ë£©,ÄÆ£¨ºÁ¿Ë£©,¼Ø£¨ºÁ¿Ë£©,Á×£¨ºÁ¿Ë£©,Áò£¨ºÁ¿Ë£©,ÂÈ£¨ºÁ¿Ë£©,Ìú£¨ºÁ¿Ë£©,Ð¿£¨ºÁ¿Ë£©,Îø£¨Î¢¿Ë£©,Í­£¨ºÁ¿Ë£©,ÃÌ£¨ºÁ¿Ë£©,Î¬ÉúËØA£¨Î¢¿Ë£©,Î¬ÉúËØC£¨ºÁ¿Ë£©,Î¬ÉúËØE£¨ºÁ¿Ë£©,Î¬ÉúËØB1£¨Áò°·ËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB2£¨ºË»ÆËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB3£¨ÑÌËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB4£¨µ¨¼î£©£¨ºÁ¿Ë£©,Î¬ÉúËØB5£¨·ºËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB6£¨ºÁ¿Ë£©,Î¬ÉúËØB9£¨Ò¶Ëá£©£¨Î¢¿Ë£©,Î¬ÉúËØB12£¨Î¢¿Ë£©,Î¬ÉúËØB14£¨Ìð²Ë¼î£©£¨ºÁ¿Ë£©,ÁÁ°±Ëá£¨ºÁ¿Ë£©,µ°°±Ëá£¨ºÁ¿Ë£©,ËÕ°±Ëá£¨ºÁ¿Ë£©,Àµ°±Ëá£¨ºÁ¿Ë£©,É«°±Ëá£¨ºÁ¿Ë£©,çÓ°±Ëá£¨ºÁ¿Ë£©,×é°±Ëá£¨ºÁ¿Ë£©,ÒìÁÁ°±Ëá£¨ºÁ¿Ë£©
°×¾¨£¨Èâ£©,111,26.5,0.5,0,0,0.337,0.025,0,0,7,22,78,283,239,0.001498,120.276,25.9,2.76,36.5,0.113,0.046,102,0,0,0.014,0.184,5.386,35.1,0.595,0.046,4,2.59,13.8,0,0,0,0,0,0,0,0
¼¦¾«£¨ÓÃË®ÅäÖÆ£©,4,0.28,0.23,0.3,0,0.089,0.074,0,0,6,2,401,6,3,0.000214,618.342,0.02,0.01,0.5,0.01,0.003,0,0,0.01,0.002,0.007,0.041,1.9,0.01,0.002,1,0,0,0,0,0,0,0,0,0,0
°×¾¨£¨Èâ£¬¸É£©,327,69.86,5.34,0,0,3.345,0.319,0,0,22,63,220,800,549,402.772,339.24,72.35,7.8,103,0.32,0.13,0,0,0.27,0.039,0.519,15.2,131.7,1.68,0.131,10,7.31,23.8,5778,1353,2726,6313,797,2810,2999,2684
÷×º£±ªÈâ,186,23.63,10.17,0,0,0,0,0,0,4,17,57,210,140,137.539,87.894,17,2.6,0,0.148,0.037,194.4,0,0.27,0,0,0,63.1,0,0,0,0,16.3,1826,482,923,1913,227,923,843,896
÷×º£±ªÈâ£¨¸ÉÔï¡¢½þÓÚÓÍ£©,367,35.31,25.08,0,0,11.16,1.18,0,0,7,29,120,400,240,205.531,185.04,17,3.1,90.8,0.27,0.037,584.1,0,0.55,0.011,0.364,6.52,68.1,0.727,0.091,11,5.85,60.9,2730,720,1380,2860,340,1380,1260,1340
Î÷ºìÊÁÖÖ×Ó£¨¸ÉÔï£©,318,12.14,4.6,58.26,0,1.486,2.023,0,0,1633,314,92,2130,6,132.3,141.864,0.11,0.3,0,0.11,1.512,18.9,30.7,0,0.191,0.423,16.825,0,0.997,0.778,95,0,0,1234,311,689,806,266,705,325,650
ÍÕÂ¹¸Î£¨Êì£©,155,24.38,4.89,3.43,0,0.65,1.07,0,0,7,20,70,235,429,0.020972,107.94,6.77,6.07,0,2.789,0.413,28800,22.6,0,0.196,4.1,10.72,0,4.57,0.91,217,71,0,0,0,0,0,0,0,0,0
ÂûÔ½Ý®Ö­¼¦Î²¾Æ£¨Àä¶³Å¨ËõÎï£©,47,0.01,0,11.81,0,0,0,0,0,5,2,4,12,1,0.000535,6.168,0.07,0.02,0,0.012,0.032,2.4,10.5,0,0.005,0.007,0.009,0,0.112,0.011,0,0,0,0,0,0,0,0,0,0,0
ºì»¨×ÑÈÊ£¨¸ÉÔï£©,517,16.18,38.45,34.29,0,4.848,28.223,0,0,78,353,3,687,644,144.221,4.626,4.9,5.05,0,1.747,2.014,15,0,0,1.163,0.415,2.284,0,4.03,1.17,160,0,0,1154,284,586,534,183,1025,452,717
Ñ±Â¹Èâ£¨ºóÇû£¬Êì£©,159,28.81,4.82,0,0,1.495,0.725,0,0,5,24,45,245,215,0.031137,69.39,4.8,4.3,16.5,0.325,0.043,93.6,0,0.88,0.291,0.814,5.89,120.4,1.487,0.373,4,6.47,0,0,0,0,0,0,0,0,0
